City_Name,Year_T,Unempl_Rate,Prop_in_Sec_Ind,Pop_Density,GRP,GRP_Growth,Prop_of_Sci_Exp,Prop_of_Edu_Exp,Num_of_School,Avg_Income,Net_Flow_T+1
Changzhou,1998,0.027,0.535,779,5045974,0.098,0.002,0.128,3,9571,-0.0065
Xuzhou,1998,0.016,0.471,778,5551461,0.122,0.006,0.164,4,7717,-0.0023
Wuxi,1998,0.024,0.515,903,10520080,0.031,0.004,0.143,2,9744,0.0013
Nanjing,1998,0.029,0.495,807,8251263,0.118,0.009,0.11,30,10661,0.0076
Shanghai,1998,0.02,0.448,2409,36882000,0.101,0.011,0.139,40,13581,0.0073
Heihe,1998,0.008,0.236,24,786647,0.032,0.011,0.389,1,4607,0.0032
Yangzhou,1998,0.034,0.524,673,4015906,0.061,0.002,0.148,2,7669,-0.0002
Quzhou,1998,0.033,0.493,272,1408255,0.073,0.003,0.138,1,7899,0.0003
Taizhou,1998,0.022,0.431,573,5546349,0.134,0.006,0.189,1,9887,-0.0003
Qitaihe,1998,0.096,0.664,134,492488,0.085,0.006,0.14,0,5433,0.0101
Jingdezhen,1998,0.009,0.344,271,812568,0.1,0.005,0.111,2,4937,-0.0074
Nanchang,1998,0.037,0.459,562,3800104,0.078,0.006,0.112,12,6600,0.0111
Longyan,1998,0.045,0.396,148,1894625,0.13,0.01,0.147,2,7107,-0.0003
Nanping,1998,0.043,0.426,114,2088527,0.023,0.008,0.172,5,6426,-0.0026
Zhangzhou,1998,0.03,0.414,350,4332983,0.2,0.009,0.141,5,6585,0.0006
Quanzhou,1998,0.012,0.603,602,8638794,0.175,0.007,0.153,2,8133,-0.0007
Sanming,1998,0.028,0.499,115,2243997,0.095,0.011,0.106,2,8019,-0.002
Putian,1998,0.047,0.549,715,1592846,0.141,0.012,0.207,2,7402,-0.0021
Xiamen,1998,0.011,0.625,809,4180644,0.147,0.006,0.136,3,12239,0.0159
Zhoushan,1998,0.042,0.392,684,935639,0.073,0.008,0.195,1,9210,-0.0019
Fuzhou,1998,0.009,0.504,484,8639244,0.176,0.006,0.133,12,8772,-0.0028
Chuzhou,1998,0.047,0.396,312,2300247,0.043,0.019,0.112,2,5195,0.0025
Huangshan,1998,0.029,0.327,149,725483,0.101,0.006,0.148,1,5735,-0.0001
Anqing,1998,0.119,0.347,388,2479773,0.076,0.005,0.113,2,5494,-0.002
Tongling,1998,0.036,0.635,608,643624,0.173,0.005,0.079,1,6819,0.0067
Huaibei,1998,0.113,0.719,685,942207,0.018,0.006,0.118,1,6326,0.0062
Maanshan,1998,0.047,0.687,691,1171143,0.046,0.002,0.087,2,8310,0.0082
